,Lat,Cloudiness,Humidity,Max Temp,Wind Speed
154,59.27,100.0,94.0,33.81800000000008,3.93
155,-33.92,67.0,93.0,60.8,1.0
156,38.96,100.0,85.0,51.00800000000001,2.68
157,-31.93,97.0,93.0,55.004000000000055,0.79
158,65.28,75.0,64.0,37.4,4.6
159,63.05,99.0,96.0,21.002000000000077,10.37
160,-34.0,74.0,85.0,55.90400000000005,0.97
161,16.78,0.0,84.0,75.18200000000002,1.69
162,71.04,90.0,93.0,37.4,12.3
163,47.28,20.0,81.0,48.992,4.0
164,-36.72,75.0,88.0,64.4,2.1
165,-36.83,61.0,93.0,69.00800000000001,2.68
166,71.0,75.0,86.0,35.6,15.9
167,-17.71,70.0,85.0,78.20600000000003,5.54
168,62.63,0.0,51.0,35.99600000000005,6.2
169,50.7,75.0,67.0,57.2,7.2
170,38.2,1.0,70.0,48.2,2.1
171,42.25,90.0,92.0,35.99600000000005,1.5
172,60.72,75.0,37.0,50.0,0.75
173,8.52,16.0,66.0,59.97200000000004,4.37
174,54.77,72.0,87.0,33.56600000000001,3.17
175,-0.12,75.0,100.0,77.0,1.5
176,-21.36,22.0,78.0,71.6,3.1
177,-9.08,65.0,70.0,84.02000000000007,2.91
178,40.0,17.0,80.0,33.8,0.5
179,66.02,100.0,86.0,37.4,2.1
180,50.72,45.0,62.0,39.452000000000076,1.47
181,67.47,100.0,99.0,35.6,7.6
182,51.59,99.0,96.0,50.0,0.45
183,-32.57,85.0,48.0,62.99600000000005,4.47
184,66.08,100.0,97.0,36.608000000000004,6.72
185,12.06,20.0,74.0,82.4,4.1
186,68.05,20.0,85.0,9.536000000000069,2.91
187,51.78,100.0,76.0,46.004000000000055,3.58
188,77.48,0.0,81.0,13.532000000000014,1.75
189,-33.7,19.0,81.0,61.736000000000075,2.64
190,65.7,100.0,98.0,35.61800000000009,7.73
191,42.78,17.0,87.0,57.00200000000008,1.34
192,-31.43,99.0,97.0,62.00600000000003,3.32
193,21.93,0.0,54.0,82.47200000000004,4.18
194,57.8,92.0,94.0,26.09600000000005,1.99
195,49.62,75.0,32.0,53.6,8.7
196,71.69,100.0,92.0,5.378000000000064,2.2
197,13.3,0.0,11.0,80.042,4.83
198,18.8,100.0,86.0,77.32400000000001,2.19
199,-5.82,40.0,88.0,80.6,3.1
200,27.83,90.0,93.0,60.8,4.0
201,6.12,21.0,80.0,80.90600000000003,2.32
202,-15.86,75.0,88.0,77.0,1.5
203,51.34,54.0,63.0,41.702000000000076,2.15
204,13.78,52.0,78.0,82.292,6.35
205,5.66,73.0,85.0,78.17000000000007,3.73
206,20.42,99.0,66.0,66.86600000000001,0.87
207,29.58,8.0,65.0,56.31800000000008,1.45
208,50.57,29.0,52.0,40.1,2.84
209,35.37,48.0,70.0,60.998000000000026,1.79
210,66.77,0.0,89.0,-3.58599999999997,7.12
211,-32.5,0.0,93.0,53.99600000000005,3.6
212,21.39,75.0,57.0,77.0,4.6
213,59.63,59.0,86.0,20.191999999999993,6.25
214,20.45,100.0,89.0,77.81000000000009,6.04
215,-2.57,94.0,75.0,81.77000000000007,0.96
216,35.49,59.0,62.0,62.99600000000005,2.24
217,40.6,1.0,82.0,62.00600000000003,6.2
218,63.45,42.0,89.0,9.986000000000068,2.97
219,65.37,37.0,95.0,30.05600000000003,2.29
220,32.67,7.0,70.0,59.0,2.81
221,37.94,58.0,76.0,53.00600000000003,1.64
222,5.88,99.0,87.0,81.93200000000002,4.37
223,31.71,75.0,76.0,51.8,3.1
224,50.63,74.0,33.0,53.00600000000003,2.68
225,-28.55,50.0,89.0,57.056000000000026,1.81
226,-4.94,6.0,77.0,82.58000000000004,1.57
227,-22.67,33.0,70.0,74.82200000000003,3.76
228,53.57,100.0,90.0,27.824000000000012,7.44
229,65.99,45.0,95.0,30.38000000000004,4.95
230,57.05,40.0,81.0,50.0,2.6
231,-38.27,100.0,68.0,57.776000000000096,4.47
232,55.34,1.0,62.0,57.2,9.3
233,56.29,65.0,86.0,33.8,4.0
234,-20.32,100.0,100.0,75.2,3.1
235,-43.3,60.0,37.0,78.7100000000001,8.35
236,-8.9,5.0,80.0,81.01400000000004,2.91
237,10.35,99.0,78.0,81.42800000000007,4.18
238,-35.17,44.0,90.0,66.29000000000002,7.18
239,62.88,100.0,86.0,6.188000000000045,5.98
240,-3.8,74.0,82.0,77.95400000000006,2.21
241,33.07,98.0,67.0,52.141999999999996,2.07
242,44.9,20.0,38.0,42.998000000000026,7.7
243,-34.73,91.0,68.0,62.94199999999999,4.48
